Oils and Fats data
Oil_or_Fat ; Specific_gravity_(g/cm3); Freezing_point_(C); Iodine_value; Saponif._value ; Major_acids
Linseed ;  [0.930, 0.935]; [-27,-18]; [170, 204]; [118, 196]; L, Ln, O, P, M
Perilla ;  [0.930, 0.937]; [ -5, -4]; [192, 208]; [188, 197]; L, Ln, O, P, S
Cotton  ;  [0.916, 0.918]; [ -6, -1]; [ 99, 113]; [189, 198]; L, O, P, M, S
Sesame  ;  [0.920, 0.926]; [ -6, -4]; [104, 116]; [187, 193]; L, O, P, S, A
Camelia ;  [0.916, 0.917]; [-21,-15]; [ 80,  82]; [189, 193]; L, O
Olive   ;  [0.914, 0.919]; [  0,  6]; [ 79,  90]; [187, 196]; L, O, P, S
Beef    ;  [0.860, 0.870]; [ 30, 38]; [ 40,  48]; [190, 199]; O, P, M, C, S
Hog     ;  [0.858, 0.864]; [ 22, 32]; [ 53,  77]; [190, 202]; L, O, P, M, S, Lu




