"";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85+"
"Autauga County, Alabama";1521;1745;1785;1585;1161;1434;1559;2060;1888;1528;1368;1211;971;829;647;502;341;315
"Baldwin County, Alabama";4235;4549;4932;4581;3487;4093;4509;5447;5781;5233;4804;4328;3695;3345;2988;2463;1598;1499
"Barbour County, Alabama";859;980;1075;1032;745;829;852;1040;993;971;968;727;606;569;576;519;338;389
"Bibb County, Alabama";672;761;755;646;642;706;742;737;718;649;638;530;472;356;337;323;166;231
"Blount County, Alabama";1693;1727;1776;1653;1463;1660;1812;1933;1855;1729;1731;1516;1226;1070;945;724;549;486
"Bullock County, Alabama";362;412;452;429;350;333;311;379;404;360;329;270;221;215;191;199;166;191
"Butler County, Alabama";679;721;819;916;632;634;620;816;806;813;667;573;501;520;495;417;369;382
"Calhoun County, Alabama";3463;3661;3620;3997;4165;3519;3739;4127;4509;4257;3884;3138;2694;2653;2505;2048;1364;1204
"Chambers County, Alabama";1175;1316;1210;1205;1136;1253;1153;1281;1356;1284;1289;1044;884;893;834;781;597;607
"Cherokee County, Alabama";683;714;699;713;663;747;777;844;899;832;887;834;696;659;554;410;304;279
"Chilton County, Alabama";1284;1331;1424;1278;1324;1362;1376;1456;1499;1352;1272;1121;945;871;686;591;435;405
"Choctaw County, Alabama";555;525;613;587;467;520;513;587;588;589;583;488;412;379;351;285;178;213
"Clarke County, Alabama";1060;1083;1049;1057;822;973;968;1085;1069;928;845;781;682;615;517;430;368;355
"Clay County, Alabama";405;454;493;438;390;444;446;525;535;463;483;420;405;336;324;266;233;242
"Cleburne County, Alabama";390;509;445;472;379;440;514;536;482;492;506;423;374;323;281;192;188;140
"Coffee County, Alabama";1333;1429;1517;1536;1283;1340;1412;1595;1759;1603;1496;1234;1115;965;853;787;475;580
"Colbert County, Alabama";1632;1848;1811;1796;1582;1721;1828;2081;2162;2020;1946;1747;1473;1269;1219;1091;750;697
"Conecuh County, Alabama";427;513;510;487;433;412;459;524;529;556;497;406;344;336;318;267;192;212
