"";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85+"
"Autauga County, Alabama";1502;1873;1953;1677;1183;1278;1469;1938;1783;1500;1239;1080;929;708;497;328;171;113
"Baldwin County, Alabama";4386;4937;5212;4882;3605;3995;4423;5302;5378;5001;4571;3948;3398;3277;2745;1966;1157;665
"Barbour County, Alabama";929;1073;1081;1117;1183;1229;1156;1309;1191;987;1002;697;534;492;401;288;178;123
"Bibb County, Alabama";777;769;699;761;780;900;900;862;860;764;674;563;436;338;293;182;84;103
"Blount County, Alabama";1835;1906;1886;1729;1572;1821;1868;2033;1924;1849;1601;1406;1262;965;785;484;320;230
"Bullock County, Alabama";375;465;423;462;530;529;431;521;521;447;369;259;227;163;121;117;95;85
"Butler County, Alabama";679;818;880;886;556;520;562;657;762;734;671;528;443;389;356;243;194;141
"Calhoun County, Alabama";3463;3749;3849;4183;3964;3580;3594;4019;4169;4068;3761;2783;2422;2113;1678;1168;697;442
"Chambers County, Alabama";1255;1288;1265;1275;1052;1133;1211;1226;1256;1248;1148;940;772;702;563;429;311;211
"Cherokee County, Alabama";750;802;803;703;624;800;822;842;892;834;873;725;712;610;442;275;170;115
"Chilton County, Alabama";1450;1507;1472;1432;1262;1394;1351;1521;1523;1359;1272;1045;884;728;584;418;228;151
"Choctaw County, Alabama";548;549;590;574;396;443;427;529;561;519;520;490;417;293;239;191;92;111
"Clarke County, Alabama";1020;1110;1142;1105;730;766;822;963;1022;882;820;701;618;502;402;252;189;134
"Clay County, Alabama";472;467;486;539;400;454;468;524;505;478;463;381;357;307;252;180;110;109
"Cleburne County, Alabama";477;488;537;494;401;478;491;570;514;534;477;429;338;305;197;152;95;60
"Coffee County, Alabama";1385;1518;1667;1579;1429;1557;1358;1648;1575;1492;1501;1127;956;870;676;513;270;182
"Colbert County, Alabama";1726;1880;1924;1849;1487;1669;1767;1973;2070;1869;1824;1486;1320;1138;946;686;438;259
"Conecuh County, Alabama";448;560;534;535;366;396;383;455;475;439;480;385;313;266;282;176;93;81
"Coosa County, Alabama";375;438;464;408;405;409;479;526;486;480;376;336;277;252;212;175;70;64
"Covington County, Alabama";1141;1262;1317;1291;1000;1068;1139;1319;1393;1250;1218;993;924;885;685;552;332;223
"Crenshaw County, Alabama";414;507;534;492;365;401;345;462;501;443;443;383;259;290;236;195;104;90
